trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.92961204279706,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,2,-65.0796427697874,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9}",25,0,-181.7323592497185,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.85}",30,0,-145.86505070265355,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8}",30,0,-219.22801920604567,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.75}",25,0,-44.83208104455065,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7}",30,0,-60.56623835608646,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.65}",25,0,-75.84869567912618,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6}",25,5,-9.268455055933883,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.55}",20,0,-0.29091790796456785,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5}",25,0,-51.20911325980122,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.45}",25,0,-157.74961684792495,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.4}",25,0,-21.08411291381268,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.35}",25,16,3.954782469573237,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.3}",20,0,-113.99018184199706,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.25}",30,0,-127.50155943337889,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.2}",20,9,-4.342317106207371,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.15}",20,5,14.814090351548161,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.1}",25,5,-34.0507532668693,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.05}",30,20,-38.70325783105291,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.0}",20,0,32.31828758622936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-43.9485085461251,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-12.439954480846305,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,6,24.056591294210588,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,7,38.297892638194845,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,19.637821530583583,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,10,36.48139204404432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,20,16.060891900511333,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,18,0.6835649371886618,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,33.034340976959705,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,11,41.04166500423766,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
