trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.58129524551705,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-176.00290073823444,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9}",25,0,-123.43916921820525,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.85}",25,0,-41.378241630897634,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8}",30,0,-175.35803031962288,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.75}",25,0,-79.16595804142182,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7}",20,0,-37.758743670667855,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.65}",25,8,12.971239435234747,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6}",35,19,-8.384769884754988,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.55}",25,10,-24.173775304634745,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.5}",30,12,0.712501861558835,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.45}",20,0,-59.72971655647604,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.4}",20,0,-39.831972625046035,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.35}",20,0,-34.438185763433594,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.3}",30,0,-80.72490962171008,"{0: 25, 1: 2, 2: 0, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.25}",20,0,1.6431453370237632,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.2}",30,12,-63.79484260969376,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.15}",30,3,-42.74774877893088,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.1}",30,14,2.18399913393009,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.05}",20,0,31.83853697870353,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.0}",25,11,27.785968727577547,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,16,8.574419429488156,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,1,34.61296848628235,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,16.962519450112847,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,14,-41.55098115295807,"{0: 13, 1: 0, 2: 0, 3: 3, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,21,16.034089696721786,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,3,25.173406507011258,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,23.43711930199647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,22.663515386008804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-8.165526240825937,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,19,11.228899690321956,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
