trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-259.27817150267555,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.96}",35,0,-241.36867155272157,"{0: 17, 1: 5, 2: 8, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9216}",25,0,-94.12703044073078,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8847359999999999}",20,0,-102.30147898946802,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8493465599999999}",20,0,-104.15855754004943,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8153726975999999}",20,0,-73.84483390467315,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.7827577896959999}",20,0,-22.77384698059505,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.7514474781081598}",20,0,-123.65329580020213,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.7213895789838334}",30,0,-66.72388941632147,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.69253399582448}",25,14,-12.320154856011595,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.6648326359915008}",20,0,-129.7832832618027,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.6382393305518408}",20,11,-33.09277808166472,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.6127097573297671}",30,19,-54.601291521499064,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.5882013670365764}",30,6,2.8591899970930785,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.5646733123551133}",25,7,23.386324285883745,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.5420863798609088}",30,5,-133.20917499668386,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.5204029246664724}",20,6,-23.782191185961764,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.49958680767981345}",25,12,1.3367515124146492,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.4796033353726209}",20,14,11.9926500088591,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.4604192019577161}",20,10,-68.64097303058392,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.4420024338794074}",25,0,-4.624166753091234,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.42432233652423107}",30,0,2.82011666811482,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.4073494430632618}",25,4,-12.870073784455752,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.3910554653407313}",20,10,16.0508274855079,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.3754132467271021}",25,11,0.953319461049063,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.360396716858018}",35,23,19.14012175412305,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.34598084818369723}",35,9,26.391444990822162,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.33214161425634936}",25,2,-59.884800081725004,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.3188559496860954}",35,0,11.297878599790161,"{0: 30, 1: 5, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.3061017116986515}",20,5,-19.687690071114158,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.29385764323070546}",25,14,5.810496763473225,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.28210333750147726}",30,16,24.444038400883638,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.2708192040014181}",25,10,29.686546287158613,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.2599864358413614}",25,0,-33.76989589432551,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.24958697840770694}",30,15,16.368464591083576,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.23960349927139865}",25,19,13.040016421081752,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.2300193593005427}",25,17,2.6433575797993543,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.22081858492852097}",25,17,13.371423748667517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.21198584153138014}",25,3,25.954137281885103,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.20350640787012492}",20,9,-13.130943656938397,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.19536615155531992}",20,5,23.687201032694105,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.18755150549310712}",20,9,17.278688776219226,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.18004944527338282}",25,14,-13.76236658033334,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.1728474674624475}",20,10,-2.6314489087897863,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.1659335687639496}",25,10,30.72712960189771,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.1592962260133916}",25,7,20.623706106686292,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.15292437697285594}",25,0,-40.07531850898792,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.1468074018939417}",25,7,-21.91829540868153,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.14093510581818403}",20,9,19.86885522960776,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.13529770158545665}",25,4,32.224548468762066,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.12988579352203838}",20,9,-50.40325791984843,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.12469036178115685}",25,6,33.070567759226186,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.11970274730991057}",20,13,11.140616094705786,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.11491463741751413}",20,5,28.630768960675603,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.11031805192081356}",30,12,18.32785991985762,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.10590532984398102}",25,15,6.966527485046277,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.10166911665022178}",25,9,28.567052840861866,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.09760235198421291}",20,8,24.279568193048654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.09369825790484439}",20,12,10.701340371003418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.0899503275886506}",30,19,22.28356762911399,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.08635231448510458}",30,22,12.974200334233108,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.08289822190570038}",25,20,8.726244432791333,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.07958229302947237}",25,12,-7.103837969044593,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.07639900130829347}",30,18,22.699872379545166,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.07334304125596174}",25,10,30.13615406119151,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.07040931960572326}",20,13,15.36519857394843,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.06759294682149433}",20,10,-4.510865524472068,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.06488922894863455}",20,12,16.637164376631,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.06229365979068917}",20,6,11.701092934576447,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.0598019133990616}",20,11,17.434906080293324,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.05740983686309913}",20,0,33.37600347241653,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.05511344338857516}",20,8,18.421822110748558,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.052908905653032155}",30,16,11.091205990755885,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.05079254942691087}",20,9,20.70110494013647,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.04876084744983443}",25,8,27.196065390004698,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.046810413551841054}",30,21,15.365879989944276,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.04493799700976741}",30,19,19.75113330424999,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.043140477129376714}",20,0,27.473920865251934,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.04141485804420164}",25,8,29.26073908450534,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.03975826372243357}",35,27,16.3872864158486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.03816793317353623}",20,7,22.699076892971053,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.03664121584659478}",20,12,4.787172640428693,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.03517556721273098}",30,16,26.583581919861963,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.03376854452422175}",20,14,11.01119713762141,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.03241780274325288}",20,0,22.73180997050669,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.03112109063352276}",20,3,27.2007738706208,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
