trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.489199985346545,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.96}",20,0,-75.57891436904274,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9216}",20,12,-60.80687779041431,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.8847359999999999}",20,0,-76.01310391845146,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8493465599999999}",20,0,-69.76806033519507,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8153726975999999}",25,0,-36.23410291293377,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.7827577896959999}",25,0,-68.82720923185016,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.7514474781081598}",20,0,-103.46196267598039,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.7213895789838334}",25,10,-50.08077081531253,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.69253399582448}",30,0,-9.126989385393316,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.6648326359915008}",20,0,-52.07417339633285,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.6382393305518408}",20,0,-21.8348227774211,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.6127097573297671}",20,0,-60.315831470806515,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.5882013670365764}",30,0,-146.55526408692302,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.5646733123551133}",25,0,-56.46339418350783,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.5420863798609088}",20,13,3.040028216506046,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.5204029246664724}",25,0,-75.32233010947607,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.49958680767981345}",25,1,2.622228952590236,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.4796033353726209}",25,11,6.0732790636586635,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.4604192019577161}",25,0,-76.75676181283501,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.4420024338794074}",20,14,11.726778774652704,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.42432233652423107}",25,12,-52.413876565971286,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.4073494430632618}",25,2,-11.969396516716087,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.3910554653407313}",20,0,-47.301233747688215,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.3754132467271021}",20,0,-12.185180347750741,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.360396716858018}",25,5,-9.534792520390582,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.34598084818369723}",25,0,-144.28674183368082,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.33214161425634936}",20,6,23.992417931677267,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.3188559496860954}",20,8,8.564691400204229,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.3061017116986515}",25,0,-10.443542159555038,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.29385764323070546}",25,9,3.2725092623352285,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.28210333750147726}",30,13,-57.99954169872172,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.2708192040014181}",20,12,15.478907639888295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.2599864358413614}",25,0,1.2435892398653607,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.24958697840770694}",20,2,-3.0382520287426984,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.23960349927139865}",25,16,17.950911797729137,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.2300193593005427}",25,15,17.209194459780363,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.22081858492852097}",25,9,25.84610143765286,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.21198584153138014}",20,0,-8.94724711711585,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.20350640787012492}",25,9,29.59833541780792,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.19536615155531992}",25,8,9.493994006502659,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.18755150549310712}",20,0,8.013201254491822,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.18004944527338282}",20,8,19.937127834677742,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.1728474674624475}",25,16,17.33412099460223,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
