trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.53536571497696,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.45478134700056,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.1885367012815,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.0773731795425,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.28989123871922,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.22459449168593,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.71280892347515,"{0: 13, 1: 6, 2: 3, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.64877353273295,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.80407252537842,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.8197477535797,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.8660670446944,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.21358951881362,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.87839494945796,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.82273795564544,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-271.552796393324,"{0: 8, 1: 3, 2: 2, 3: 2, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.31856975022816,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.11633918022758,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.512360894683,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,17,-105.99489383512493,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.16379405182703,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.35738561535442,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-57.34612718971647,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.172661861449264,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.9475492185762,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-102.10156659520366,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.41113414631265,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-47.5102630933204,"{0: 23, 1: 5, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,7,-125.44099839575752,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.87887413678183,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,3,-55.522382288057706,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 0}",1
